卦號	卦名	卦辭	關鍵	六十四卦的序列	相關詞	運勢	願望	愛情?關係	婚姻	個性	事業和策略	住宅	行情	旅行	生病?病狀	爻辭1	爻辭2	爻辭3	爻辭4	爻辭5	爻辭6	爻辭7	爻辭8
52	艮	艮其背不獲其身。行其庭不見其人。無咎。	艮代表山，並以正直和溫暖頑固地留在原地。	物不可以終動，止之，故受之以艮，艮者止也。	停止、不動、塞住、沉默、痛苦、誠實、固執	運氣停滯不前，任何事情都不能一帆風順。	有很多麻煩，不能如願。	因消極態度而傾向於被孤立時。	出了點問題，親事沒有談成。	保守而固執的人。		最好增加樓層數並往上增建。	在高價區間停止。	旅行中很可能會發生麻煩和受傷。	腦出血、背痛、脊髓疾病、背痛、跌打損傷等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 艮其趾。無咎。利永貞。 （當腳移動時，應該最先移動的腳趾停止住了。因為沒有動作所以沒有罪咎。但是，請留心長久保持正確的道路。） → 克制住前進，並通過停下不動來獲得安全時。同樣重要的是放棄私利私慾和保持謙虛和正確的態度。	六二 艮其腓。不拯其隨。其心不快。 （抑制在小腿。想保住上面的腰部，卻因為力氣不足，只好聽從壞腰的話。因此，心中不快。） → 想動也動不了。知道上級命令是不正確的，但別無選擇，只能服從。感到不快之時。	九三 艮其限。列其夤。厲?心。 （腰停止住了。因為該動的東西不動了，背部肌肉好像被撕裂了。因其固執不動，為上、下、左、右的人所憎恨。像是心被火燻黑般的危險。） → 被周圍的人討厭，孤立無援。前進或停下來也無法克服這種情況，但只能停下來。當焦慮無止境之時。	六四 艮其身。無咎。 （軀幹停止。與腿部和腰部不同，軀幹是必須停下來時能抑制。沒有罪咎。） → 了解自己的立場和能力，保持在適當的位置不要動。保持安靜是安全的。	六五 艮其輔。言有序。悔亡。 （嘴停止。但是，發言時有秩序。如果有秩序，擔心的遺憾就會提前消失。） → 節制說話。什麼都不說，穩紮穩打是好的。那樣做焦慮就會消失。	上九 敦艮。吉。 （最後，做一個完美的停止。吉。） → 事情結束的方式很重要。當迄今為止的艱辛和努力結出碩果。得到好運。	
53	漸	漸，女歸吉。利貞。	巽（?）的樹是在艮（?）的山上逐漸成長的卦象。	物不可以終止，故受之以漸，漸者進也。	緩緩地往前走、循序漸進、結婚	運氣會逐漸向上。	如果循序漸進的話，願望就會實現。	對方懷抱好意靠近，而這方卻是背道而馳。	這是對方想要的。由這方來前進謀求進展，吉。	性格溫順聽話，但內心固執。		目前沒有問題。把在意的部分翻新就好了。	可以期待將來的成長。逐漸走向高價。	不要著急，從容地制定計劃為好。	頭痛、頭暈、胃腸功能低下等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 鴻漸于幹。小子厲。有言無咎。 （水鳥前進到水邊。這對兒童來說是危險的。但是，如果對於前進猶豫不決，可能會被周圍的人抱怨，但沒有罪咎。） → 儘管缺乏經驗仍前進而感到動力不足或失敗時。這可能會導致與他人發生衝突。不過，前進也不是壞事，所以最好是在制定計劃的同時，一點一點地充實內容為好。	六二 鴻漸于磐。飲食衎衎。吉。 （水鳥前進到大岩石。岩石堅硬而平坦，因此很穩定。這是好事，因為可以盡情地吃喝，吉。） → 在上級的支持下，可以不費吹灰之力就過上安穩的生活。但是，請注意不要放鬆警惕。不要怠慢努力。	九三 鴻漸于陸。夫征不復、婦孕不育。凶。利禦寇。 （水鳥前進到陸地。丈夫離開家後沒有回來。即使妻子懷孕了，也不會扶養那個孩子。凶。然而，可以通過建造堡壘防止外敵入侵。） → 因為自己的武斷行為被孤立。也得不到任何利益或成功。凶。外界有批評和攻擊，但這些表面問題是可以解決的。	六四 鴻漸于木。或得其桷。無咎。 （水鳥前進到樹上。在樹上不穩定，但在扁平木材上穩定。沒有罪咎。） → 不安，但通過跟隨有能力的人來獲得支持。如果不試圖滿足私慾，那就不是壞事。	九五 鴻漸于陵。婦三歲不孕。終莫之勝。吉。 （水鳥前往高的山丘。由於種種障礙，妻子三年無法懷孕，但最終克服了障礙，獲得好運。） → 正在走向成功的道路上，但有一段時間遇到了各種障礙和麻煩，無法順利進行。但不必放棄或選擇另一條道路。如果專注於這條道路並繼續努力，最終會成功。吉。	上九 鴻漸于陸。其羽可用為儀。吉。 （水鳥行至雲道。鳥飛向天空不回來了，但用掉落羽毛來裝飾儀式。吉。） → 當努力富有成效並成功時。但不應該想要更多的利潤。像隱士一樣生活，留下可以作為他人榜樣的教義。這樣做會帶來好運。	
54	歸妹	歸妹，征凶。無攸利。	意味著兌（?）少女嫁給了震（?）長子的卦象。	進必有所歸，故受之以歸妹。	婚嫁，對男人不利，對女人有利，差錯，誤會，違約	因為輕率的行動導致差錯和錯誤而發生時。	願望很難實現。	暫時因情慾而結合，不平衡的關係。	如果著急，凶。不要談成較好的狀況很多。	內心是一個溫順平庸的人。		如果是第二間房子之後的房子，沒有問題。	有很多湍流，不會按照預期。	宜推遲。	精神病、外傷、性病等。 原因大多是由情慾和男女關係的問題。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 歸妹以娣。跛能履。征吉。 （到姐姐的夫家，自己也作為照護的人出嫁。這就像是跛腳的人卻想行走，無法走遠。然而，向前邁進是件好事。） → 不能展現自己的才華和能力。可以通過幫助別人和扮演配角來獲得好運。	九二 眇能視。利幽人之貞。 （即使試圖用一隻眼睛看東西，也理所當然不能很好地看清事物。作為隱士保持正義是件好事。） → 當努力沒有得到回報忍耐之時。但是，即使不被別人理解，也要堅持自己的姿態和態度。	六三 歸妹以嬬。反歸以娣。 （必須等待很長時間才能結婚。回到老家，有可能作為某人的照護人而結婚。） → 即使追求理想，也不會得到任何東西，相反，將失去自己的價值。	九四 歸妹愆期。遲歸有時。 （想結婚，但已經過了適婚年齡。不過，如果晚婚沒關係的話，一定會結婚的。） → 在努力結出果實前，忍耐並等待時機之時。至今尚未成功是因為，機會還沒有到來。某天機會會來的，繼續努力。	六五 帝乙歸妹。其君之袂，不如其娣之袂良。月幾望。吉。 （天子將最小的女兒嫁給了一個有權勢的人。這個女兒的和服袖子，沒有照護人的和服好看。和服是樸素的，但就如同滿月的月光般，這個女兒熠熠生輝時間很近了，吉。） → 充實自己的內在。如果能保持謙虛的態度，就會獲得人性的美德。與其追求眼前的利益，不如制定一個大計劃來實現自己的理想。	上六 女承筐?實，士刲羊?血。無攸利。 （女性結婚時帶來的手提箱裡沒有任何東西。將變成丈夫的男人為了婚禮的儀式剖開羊時，不吉的沒有流血。沒有任何利益。） → 即使表面被裝飾，但內在空泛。缺乏誠意而帶來麻煩和災難。	
55	豐	豐，亨。王假之。宜日中。	將離的智慧（?）與震（?）的敏捷相結合，事情將成功。	得其所歸者必大，故受之以豐，豐者大也。	盛大、豐盛、盛衰、力求維持現狀、切勿大意、飽和	運氣好的時候。不過，既然現在是高峰，運氣就會逐漸下降。	如果保持誠實並運用智慧和行動，就會實現。	注意不要過於熱衷。	看似美滿的婚姻，但彼此之間有猜疑和秘密，需要時間來調和。	才華橫溢，有行動力。		根據需要進行翻新很好。	猛漲，但很快達到最高價，然後急劇下跌。	在旅行之前計劃好為好。	眼疾、高燒、心血疾病、精神障礙、神經系統疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 遇其配主。雖旬無咎。往有尚。 （會遇到成為自己配偶的丈夫。即使遇到的天數超過十天也沒有罪咎。因為如果去老公身邊，就會被珍惜。） → 找一個將自己視為珍寶，身分地位比自己高的人物。 聽從對方的意見和建議。	六二 豐其蔀。日中見鬥。往得疑疾。有孚發若，吉。 （使遮陽的百葉窗更大。變得可以在白天看到北斗七星這麼暗。如果在黑暗中還願意與人相遇，會被懷疑和憎恨的吧。不過，要是能用誠意打開對方的心，吉。） → 自己的親切和善意被人誤解，尤其是被上級誤解。不過，即使如此也能真誠地對待對方的話沒有問題。 得到好運。	九三 豐其沛。日中見沫。折其右肱。無咎。 （使長窗簾更大。變得可以在白天看到小星星這麼暗。就像重要的右肘斷了一樣，無法展現自己的力量。不過，在這片黑暗中努力過，沒有罪咎。） → 苦於進退之時。時機和條件不好，不能發揮自己的能力。然而，努力不會白費，所以一定要採取適當的行動，並等待機會。	九四 豐其蔀。日中見鬥。遇其夷主。吉。 （使遮陽的百葉窗更大。天太黑了， 變得可以在白天看到北斗七星這麼暗。遇到和自己一樣德行的丈夫，合作，會獲得好運。） → 上級不可信，所以最好與下屬或年輕的智者一起合作。那樣會得到好運。	六五 來章，有慶譽。吉。 （能請有美德的下位聖人到自己身邊來的話，就會得到好運和名譽。） → 請善於表達美麗和華麗的人發送情報是好的。這樣做，將獲得好運並且非常成功。	上六 豐其屋，蔀其家。闚其戶，闃其?人，三歲不覿。凶。 （使屋頂更大。 進一步用家裡的百葉窗蓋住。從門口往裡看，裡面很安靜，感覺不到任何人跡。即使過了三年也沒有人走出家門。沒有和任何人見面，孤立的狀態。凶。） → 他失去了他的同事和親密的朋友和變得孤立。原因是他在運氣上升的時候沒有採取對抗運氣的措施。充分反思並為下一個機會做好準備。	
56	旅	旅，小亨。旅貞吉。	火山旅是表示旅行者在山(?)上升火(?)露營的樣子。	窮大者必失其居，故受之以旅。	無目的地的旅行、流浪、移動、迷路、不安、孤獨	當運氣不穩定，難以安定下來的時候。	小願望就會實現。	由於彼此缺乏信任和誠實，因不安而分手。	一場因為偶然相遇為契機的婚姻。	不喜歡與人交流，單獨行動的類型。		一個不舒服的住所。	即使有上升的跡象，也不會輕易移動。	旅遊是好事，因為這會增加你的運氣。	躁鬱?症、發熱、肩部和腰部關節痛等。症狀有起有落。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 旅瑣瑣。斯其所取災。 （旅行時，心裡的餘裕漸漸消失。地位低下的小人物去旅行，就更小氣。這會導致更多的災難。） → 堅持小東西會造成巨大的傷害。 當所處的環境不好時，專注於保護自己，不要做任何不相稱的事情。	六二 旅即次，懷其資，得童仆貞。 （旅行中最放鬆的時刻就是抵達住宿的地方的時候。心裡變得最富足的是當口袋裡有足夠的錢時。心裡最有餘裕的時候是當得到一個忠實的僕人。） → 經常每天都沒有餘裕，但這是難得感到安心的時候。不缺資金和物資，得到下屬的配合。通過與他人合作來獲得好運。	九三 旅焚其次，喪其童仆。貞厲。 （旅行時住的旅館著火了。帶著僕人逃跑。即使這次旅行的目的是正確的，這一次也很危險。） → 動機正不正確也無關，以自我為中心的方式行事會導致災難。將與信賴的人發生衝突，變得孤立無援。	九四 旅于處，得其資斧。我心不快。 （旅行時，得到一個安頓下來的地方和露營時必要的好斧頭。但仍然不舒服，感覺不到愉快。） → 當事情沒有按照所想的方式發展，感到困惑時。當前的環境和位置是不舒服和不穩定的。	六五 射雉，一矢亡。終以譽命。 （試著射一隻雉，但第一支箭鬆脫遺失了。但最終，會射殺雉來獲得榮譽和爵位。） → 在剛開始的時候，多少有一些失誤和損失，但在最後，達成目標，得到巨大成就時。	上九 鳥焚其巢。旅人先笑，後號咷。喪牛于易。凶。 （高處俯視人的鳥的鳥巢被燒毀。如果旅客不謙虛，只有剛開始能笑。之後，他失去了自己的歸屬哭了起來。牽來的牛在邊境遺失。凶。） → 身居高位欣慰，因粗心或傲慢而跌落之時。除了失去自己的歸屬，還會被他人憎恨。凶。	
57	巽	巽，小亨。利有攸往。利見大人。	巽（?）是一個卦，其下陰爻跟隨兩個上陽爻。	旅而無所容，故受之以巽，巽者入也。	服從，躺下，入侵，迷惘	不知所措，無法做出決定，心思不定的時候。	如果能以柔軟的態度來臨機應變的話，小願望就會實現。	彼此之間有很多迷惘，關係不穩定。	這是對方想要的，所以如果回應的話就能談成。	跟隨人，不反抗上司的人。		如果把房子用於作生意，尚可。	上下浮動很多，不穩定。	宜去計劃外的小旅行。	感冒、憂鬱、神經痛、傳染病、感染病、腸道疾病、性病、痔瘡等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 進退。利武人之貞。 （進退兩難，無法做出決定。如果能像戰士一樣以勇敢的態度做出決定，會得到利益。） → 有很多猶豫和優柔寡斷，最終以無功而返。做好失敗和損失的覺悟，即使勉強自己也要邁出第一步。帶著自信和信念，盡可能多嘗試。	九二 旅即次，懷其資，得童仆巽在?下。用史巫紛若。吉無咎。 （在神面前謙卑，趴在床底下。如果能用大量的神官和巫女，用語言表達對神的誠心，吉， 沒有罪咎。） → 保持謙虛的態度，用言語表達誠意。特別是如果聽從上級的意見，就會得到好運。	九三 頻巽。吝。 （因為地位高，所以只在表面上假裝謙虛地。這是一件非常可恥的事。） → 做違心的事，肯定會遇到困難，丟臉。失去信賴和時間，卻一無所獲。	六四 悔亡。田獲三品。 （悔恨消失。正如狩獵的話就獲得大量獵物一樣，可以通過一些行動來獲得好結果。） → 當以柔順的態度建立起一段圓滑的關係時，就能獲得上級的信任和下級的幫助。一切順利。然而，大的願望不會實現，所以最好在有大事的時候停下來。	九五 貞吉。悔亡。無不利。無初有終。先庚三日，後庚三日。吉。 （如果保持正確的道路，吉，悔恨就會消失。一切都利益的。悔恨在剛開始時不會消失，但會在最後消失。變更事物的狀況下，那前後三天小心為好。） → 如果繼續謙虛地努力，一定會得到結果。一開始很擔心，但最終還是平安無事地結束了。 帶著堅定的信念，重要的是要持續下去。另外，如果事物變更的情況下，在那前後都要慎重來獲得好運。	上九 巽在?下。喪其資斧。貞凶。 （雖然身居高位，卻趴在床邊，過於謙虛。已經失去了象徵高尚美德的鋒利斧頭。凶。） → 即使希望對方喜歡你，也不要過度諂媚。這是破壞自己原本擁有的美德和判斷力的行為。將會失去地位和信任，凶。	
58	兌	兌，亨。利貞。	兌（?）在下爻?中爻有安定的陽爻，上方的陰爻可以安心享受，因此被視為「喜悅」的象徵。	入而後說之，故受之以兌，兌者說也。	喜悅(歡喜)、和藹可親、娛樂、幽默、聊天、能說會道	很多喜悅和快樂之時。	如果保持謙虛的態度，願望就會實現，心就會快樂。	對對方釋出好意，但對方不看這邊。	對方不想結婚。	和藹而開朗的個性。		不宜搬家。	基本上，在低價範圍內穩定下來。	慰勞旅行的好時機。	口腔疾病、肺部疾病、消化系統疾病、腎??膀胱疾病、性病、受傷?外傷等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 和兌。吉。 （由於對上下關係不感興趣，可以純粹的讓人們快樂。吉。） → 如果一心試圖取悅面前的人，無論身份或地位如何，一切都會順利。	九二 孚。吉。悔亡。 （用信念讓人們快樂。那樣做會獲得好運，不會後悔。） → 如果帶著堅定信念的同時，以真心努力取悅人們，吉。通過認真對待，將不必擔心。	六三 ?兌。凶。 （試著取悅地位比自己低的人。凶。） → 為了眼前的快樂，或者為了排場，行為方式缺乏誠實。將失去信譽，凶。	九四 商兌。未寧，介疾有喜。 （權衡是否應該快樂。因此，心情無法休息。這就像得了一場小病，但如果下定決心，最後就會得到快樂。） → 因為眼前的快樂，或者是因為排場，心中迷惘。儘管如此，如果嘗試擁有堅定的信念，那麼幸運最終會到來。	九五 孚于?。有厲。 （如果相信一個試圖剝奪自己意志力量的小人的話，這將是危險的。） → 周圍都是試圖取悅自己的小人。因為自己的自信和美德，小人會靠近，但讓這些小人靠近是危險的。	上六 引兌。 （一個地位很高的人物試圖討下位的人的歡心。不過，不知道對方是否開心，所以退了一步。） → 僅僅為了滿足自己的願望而波及到第三者，結果是失去信任。	
59	渙	渙，亨。王假有廟。利涉大川。利貞。	是巽（?）之風吹，坎（?）之水散落的卦象。	說而後散之，故受之以渙，渙者離也。	渙散，離散、驅散煩惱，出發去冒險，出航去遠方	對於經歷過困難和磨難的人來說，是擺脫困境，提高運氣之時。	如果能祭祀祖先的靈，並驅散痛苦的話願望就會實現。	由於有離散的含義，會解除與對方的關係。	既然有離散的意思，婚姻談不成解除了。	不能專心做一件事，情緒變化很大的人。		新建築很好。	由於人氣的分散而有下跌的趨勢。	宜遠行。	感冒、腎臟?膀胱?尿道等疾病、腸道疾病、血液疾病、生殖器疾病、痔瘡、食物中毒、腹瀉、耳?鼻疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 用拯。馬壯。吉。 （如果被一匹強壯馬拯救的話，可以把那些離散的人帶回來。吉。） → 使長輩成為有力的盟友並跟隨那個人的話，能阻止離散，是件好事。	九二 渙奔其机。悔亡。 （處於離散狀態時，跑到了一個平靜的地方。沒有悔恨。） → 即使在困難的情況下，也可以獲得可靠的人和事。今後對未來充滿希望時。	六三 渙其躬。無悔。 （消散自己的私利，為世界工作。沒有悔恨。） → 捨去排場或門面等利己的感情，以自我犧牲的精神努力克服困難。這將打開運氣。	六四 渙其群。元吉。渙有丘。匪夷所思。 （解散私黨。大吉。 通過解散私黨，可以實現更大的團結。人們就像一座山一樣聚集在一起。這是普通人無法企及的。） → 解散私人聚會，通情達理之時。該行為將形成一個更大規模的聚會，並將成為巨大成功的根本。	九五 渙汗其大號。渙王居。無咎。 （當天下離散時，國王發出正確的命令。國王的私有財產如果分散給人民，就可以避免天下離散，沒有罪咎。） → 為了獲得更大的財富，現在必須捨去私有財產。然而，只有那些能夠站在別人之上，承擔重任的人才能做到這一點。	上九 渙其血，去逖出。無咎。 （讓會成為障礙的東西離散。離開受災地區，到遠方，沒有罪咎。） → 為了從困難或辛苦終被解放，就要遠離因緣。如果能搬到一個不受影響或干擾的地方，就能獲得平安。	
60	節	節，亨。苦節不可貞。	在澤 (?) 上有水 (?) 的形狀。	物不可以終離，故受之以節。	節度、節操、節制、節約、貞節	一步一步穩定前進時。	如果繼續穩步前進，時機很快就會到來。	對方有煩惱和秘密，發展關係需要時間。	在適度約會後走到一起的良緣。	保持節制的人。		任何小規模的改造都可以。	保持在低價範圍內，沒有大的變動。	如果是在附近的短途旅行是可以的，但不要走得太遠。	口腔疾病、肺部疾病、消化系統疾病、腎臟?膀胱?尿道疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 不出戶庭。無咎。 （不離開中庭。 如此慎重則沒有罪咎。） → 不要堅持自己的主張，應不顯眼地行事。即使有人邀請也應該小心拒絕。	九二 不出門庭。凶。 （不離開大門內側的庭院。該離開的時候到了，但錯過了時機，凶。） → 應該敢於積極行動時。如果維持現狀，就會錯失良機，招來衰運。	六三 不節若，則嗟若。無咎。 （如果不能保持節度的話，就只能嘆息。不能責怪任何人，因為是自己招來的災難。） → 忘記節制而做出不合適的行動，招來失敗和挫折。因為是自作自受，深刻的反省。	六四 安節。亨。 （可以不勉強輕鬆自如地節制。願望會實現。） → 努力充分了解自己的實力和角色來保持自然和謹慎的態度時。這樣，上司就會站在自己這邊，願望就會實現。	九五 甘節。吉。往有尚。 （由於認真地控制自己的慾望，即使管理別人，也能被接受。吉。再繼續前進，就會有一個萬人景仰的功勞。） → 謹記謹慎言行，不為才能或力量所惑。事情進展順利，得到安泰。	上六 苦節。貞凶。悔亡。 （過度痛苦的節制。誤以為這是正道是不好的。如果後悔並改變，厄運就會消失。） → 太固執於節製而失敗。縱使受苦克制，也只會招來厄運。如果能反省並保持寬容的態度，就可以擺脫痛苦。	
61	中孚	中孚，豚魚吉。利涉大川。利貞。	當巽（?）的風吹來時，澤（?）的水就會隨之而動。	節而信之，故受之以中孚。	親和、和諧、調和、親密、誠心、愛情、欽慕	通過對話促進人際關係可以提升運氣。	如果與周圍的人際關係每天都圓滑的話願望就會實現。	相思相愛的關係。	彼此想要，良緣。	與周圍環境融洽、合作度高的人		外觀不錯，內部卻有不滿。	條件滿足，有上升趨勢。	如果重視人際關係，旅行是件好事。	憂鬱、神經痛、傳染病、感染病、發燒、性病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 虞吉。有它不燕。 （如果能夠對對方是否值得相信做出堅定的推測的話，吉。一旦相信了，就應該對對方徹底誠實。如果變心到他人身上，就會失去一個安穩的地方。） → 好像可以信任的人出現，也不要輕易相信。首先，慎重識別對方，如果確定可以信任的話，請對那個人盡力而為。	九二 鳴鶴在陰，其子和之。我有好爵。吾與爾靡之。 （鶴在黑暗的樹蔭下鳴叫。即使看不到，孩子也會尖叫著回應父母的聲音。因為心是相通的。現在得到想要的爵位，但不想獨佔。與信任的人分享自己的爵位。） → 如果真誠待人，不要求也會得到周圍的人的支援。通過與他人分享快樂和利益來讓彼此好運。好好照顧長輩。	六三 得敵。或鼓或罷，或泣或歌。 （敵人出現。持續擊鼓來攻擊這個敵人的話，有可能撤退。為自己無法進軍而痛哭的話，與敵人和平共處歡喜歌唱也有可能。） → 因為自己的私利私慾而採取輕率的行動時。一切都是半調子，最終導致失敗和挫折。	六四 月幾望。馬匹亡。無咎。 （ 月亮快到滿月。失去一對馬。沒有罪咎。） → 丟掉私人無聊的緣分，並與可以實現大義的人聯繫。	九五 有孚攣如。無咎。 （互相有共同的信念而聯手。沒有罪咎。） → 志同道合的同志，尤其是下屬等晚輩合作為好。不要自我中心來行事。	上九 翰音登于天。貞凶。 （一隻不會飛的雞試圖飛上天。即使信念是正確的，也是壞的。） → 對自己的能力過於自信，渴望不相稱的事物。由於能力不足，導致失敗和挫折，失去周圍人的信任。	
62	小過	小過，亨。利貞。可小事，不可大事。飛鳥遺之音。不宜上，宜下。大吉。	小過（?）的卦是，其中陰在中間被陽侵染。	有其信者必行之，故受之以小過。	有點走得太過，有點太過度，悖反，離反，小事可以，大事不可，前進警戒，退步是好	對不符自己能力的事出手，進退兩難。	願望有點太大了，暫時讓步是好的。	由於寄予厚望，容易彼此分開。	因意見不合導致婚姻不協調。	與他人意見不合的人。		現在的居住環境不好。	因為小的因素有小幅上漲。	最好取消。	精神疾病、肢體疾病、外傷、腸道和腎臟疾病、血液循環不良、腹瀉等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 飛鳥以凶。 （就像一隻飛得太高的鳥。因為不知道下降，凶。） → 由於野心過大，會導致禍害。收斂地保持現狀是好的。	六二 過其祖，遇其妣。不及其君，遇其臣。無咎。 （沒有九五的祖父，所以通過祖父。然後，遇到了六五的祖母。同樣，沒有九五的君主，所以不能達到君主。然後，遇到了成為臣下的六五。沒有罪咎。） → 如果保持謙虛和溫順的態度，即使沒有得到想要的最好的結果，也能得到合理的結果。	九三 弗過防之，從或戕之。凶。 （目的地有一個惡人在等待。無法過去。甚至可能會被殺死。凶。） → 運氣最差的時候。無論做什麼，大多都無法順利進行。此外，可能會遇到意想不到的災難。	九四 無咎。弗過遇之。往厲。必戒。勿用永貞。 （如果保持安靜，就沒有罪咎。與惡人相遇，也不能讓惡人先通過。然而，自發去征討惡人是很危險的。一定要小心。不要試圖永遠堅持正義。） → 當情況或環境不好時，要非常小心，不要讓它繼續惡化，需要非常用心。積極的行為會導致惡化。保持謹慎態度並靈活應對，以確保安全。	六五 密雲不雨。自我西郊。公弋取彼在穴。 （即使雲層比西郊厚，也還是不下雨。君主射出一箭，俘獲了潛伏在洞中的六二，並用它作為自己的助手。） → 即使有實現願望的意欲，也無法實現。當一切都不如自己所願時。現在就專注於培養有前途的下屬，並為即將到來的機會做好準備。	上六 弗遇過之。飛鳥離之。凶。之謂災眚。 （再也不會遇到找麻煩的人擋路，高高的飛過。會受到厄運的打擊，就像一隻飛翔的鳥被箭射中一樣。這叫天災，人禍。） → 如果對自己的能力過於自信而盲目前進，就會陷入困境。會導致失敗、挫折和批評。自作自受。	
63	既濟	既濟，亨小。利貞。初吉終亂。	由於所有的陽爻都在奇數位，所有的陰爻在都偶數位，所以六個爻都在正確的位置的卦象。	有過物者必濟，故受之以既濟。	完成，結束，集齊需要的一切，有條理的談話，沒有多餘也沒有不足	因為現狀是有安定的運氣，所以做一些小事是好的。	完成?達成面前的願望正在穩步實現。	戀愛得以成功，起初有很大的親和力。	婚姻沒有任何問題就談妥了。	有常識和善於交際，但沒有個性的人。		目前，住起來已經很舒服了。	當前價格將保持不變。	將是一次安定而愉快的旅行。	腎臟、膀胱、尿道、心臟?血液、生殖器疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初九 曳其輪，濡其尾。無咎。 （從後面拉汽車的車輪。狐狸弄濕了尾巴。如果在過河時發生這種情況，就不容易過河。如果慎重的話，就沒有罪咎。） → 避免激進的前進或輕率的行動。保持謹慎態度很重要之時。	六二 婦喪其茀。勿逐。七日得。 （因為丟失了車內使用的遮蔽物，婦人無法掩飾自己的臉。但是，不必特地搜索，會在七天內自己回來。） → 為了得到名聲名譽而失去了需要的東西或機會。但不後悔。如果繼續謙虛地努力，很快就會得到失去的東西。	九三 弗過高宗伐鬼方。三年克之。小人勿用。 （一位名叫高宗的王擊敗了敵國的鬼。花了三年終於勝利。那怕是有功之臣也不是每個人都能晉升到官位。對小人物最好用錢留住。） → 到現在的辛苦得到回報之時，但不能承受太多損失。不要大意和自豪，首先鞏固現狀。	六四 繻有衣袽。終日戒。 （船破了一個洞，浸水了，所以用一塊布把洞堵住。事前精心準備，整日保持警惕。） → ，無論現狀多麼平穩，會發生想不到的麻煩或錯誤之時。即使是小事也不要忽視，要非常小心和警惕。	九五 東鄰殺牛，不如西鄰之禴祭，實受其福。 （東鄰家殺牛舉行豪華的祭典，但如果祭典不真誠，連西鄰家簡約的祭典都比不上。真誠帶來真正的好運。） → 即使在高位也不要驕傲，不要鋪張排場，應回歸初心之時。如果能再次採取樸素謙遜的態度，就會帶來好運。	上六 濡其首。厲。 （狐狸過河時，弄濕了頭。危險。） → 迄今為止安定的東西面臨著崩潰的危機。凡事都要謹慎對應，即使處境艱難。	
64	未濟	未濟，亨。小狐汔濟、濡其尾。無攸利。	由於在奇數位有陰爻，在偶數位有陽爻，所以未濟的爻都不是正位。	物不可窮也，故受之以未濟終焉。	未完成，不成熟，為時尚早，逐漸和諧，逐漸團結	目前，問題很多，不協調，但情況正在逐步好轉和協調。	如果繼續耐心地努力，最終會實現。	起初不和諧，因為彼此都很有原則。	目前，問題很多，但隨著時間的推移會得到解決。	外表光鮮，內心憂愁的人。		對不滿意的地方進行修復和翻新是好的。	最初低價，但逐漸上升到高價。	請注意準備階段的失誤，例如遺失物或預訂的錯誤。	精神疾病、腎臟?膀胱?尿道疾病、心臟?血液疾病、眼部疾病等。	* 從底部計數，九表示陽?六表示陰(例如「初九」表示最底的陽的爻)	初六 濡其尾。吝。 （狐狸試圖過河，弄濕了尾巴失敗了。應該感到可恥。） → 過度自信會導致失敗。只專注於合適的事情，想做大事的話要等待機會。	九二 曳其輪。貞吉。 （從後面拉一輛試圖過河的汽車。能駕馭而不盲目，才可以說是正確的態度。吉。） → 現在是克制自己並發展自己能力的時候。如果用心等待，以後就會立下大功。	六三 未濟。征凶。利涉大川。 （事情還沒有定下來。如果積極地前進，凶。然而，在過河時保持膽小謹慎是一個優勢。） → 基本上，現在還為時過早，因此應該避免採取積極的行動並發展自己的能力。但是，如果在機會到來時有足夠的信心的話，則可以完全繼續進行。	九四 貞吉悔亡。震用伐鬼方。三年有賞于大國。 （繼續保持正道是好的，可以防止後悔於未然。 用氣勢和勇氣來激勵自己，打敗敵國的鬼方。如果花三年的時間，可能會得到國家的獎勵。） → 以前不可能的事情可以通過進一步的努力來實現。然而，不能立即實現，需要很長時間。	六五 貞吉無悔。君子之光。有孚吉。 （通過保持正道獲得好運。沒有遺憾。有一種像君子一樣閃耀的美德。有誠實。 因此會得到更多的好運。） → 當迄今為止的努力和謙虛的態度取得成果並獲得好運時。但是，保持警惕並保持努力和謙虛的態度是好的。那樣的話就會得到更多的好運。	上九 有孚于飲酒。無咎。濡其首，有孚失是。 （事情不順利時，一邊喝酒一邊享受時光，最好是泰然地等待。但是，如果喝了太多的酒的話，就會失去泰然的態度。） → 不必對迄今為止看似不可能的事情過於悲觀。只需要冷靜下來等待機會。但是，如果不小心，就會出錯。 保持節度是很重要的。	
